"ID_Fahrzeug","ID_T01","Fehlerhaft_Datum_T01","Fehlerhaft_Fahrleistung_T01","ID_T02","Fehlerhaft_Datum_T02","Fehlerhaft_Fahrleistung_T02"
"11-1-12-370035","1-202-2021-601669",2014-03-12,32556.12,"2-201-2011-452744",2014-01-14,35454.8164383562
"11-1-12-370047","1-202-2021-601236",2014-03-11,32489,"2-202-2022-1053623",2014-01-11,35206.301369863
"11-1-12-370133","1-202-2021-604796",2014-03-19,32958.88,"2-202-2022-1057415",2014-01-16,35537.6547945205
"11-1-11-560103","1-202-2021-605126",2014-03-20,32824.63,"2-202-2022-1057837",2014-01-17,35371.9780821918
"11-1-12-370146","1-202-2021-604206",2014-03-18,32891.75,"2-202-2022-1060626",2014-01-20,35869.0082191781
"11-1-12-370269","1-202-2021-602808",2014-03-15,32623.25,"2-202-2022-1054158",2014-01-12,35123.4630136986
"11-1-11-560164","1-202-2021-602612",2014-03-14,32421.87,"2-201-2011-452893",2014-01-14,35123.4630136986
"11-1-11-560517","1-202-2021-604507",2014-03-19,32556.12,"2-201-2011-453882",2014-01-17,35123.4630136986
"11-1-11-560851","1-202-2021-603225",2014-03-16,32354.75,"2-201-2011-453402",2014-01-16,35040.6246575342
"11-1-11-560277","1-202-2021-602985",2014-03-15,32489,"2-201-2011-453087",2014-01-15,35206.301369863
"11-1-11-559906","1-202-2021-602366",2014-03-14,32489,"2-202-2022-1056159",2014-01-14,35206.301369863
"11-1-12-370474","1-202-2021-604562",2014-03-19,32757.5,"2-201-2011-454394",2014-01-19,35537.6547945205
"11-1-12-370536","1-202-2021-602215",2014-03-13,32153.37,"2-202-2022-1056724",2014-01-15,34957.7863013699
"11-1-11-560873","1-202-2021-603266",2014-03-16,32354.75,"2-202-2022-1057559",2014-01-16,35040.6246575342
"11-1-12-370558","1-202-2021-605499",2014-03-21,32690.38,"2-201-2011-454313",2014-01-18,35206.301369863
"11-1-12-370580","1-202-2021-604740",2014-03-19,32556.12,"2-202-2022-1059148",2014-01-18,35206.301369863
"11-1-11-560684","1-202-2021-604544",2014-03-19,32556.12,"2-202-2022-1059281",2014-01-19,35289.1397260274
"11-1-12-370721","1-202-2021-605671",2014-03-21,32690.38,"2-202-2022-1060132",2014-01-20,35371.9780821918
"11-1-11-560358","1-202-2021-603704",2014-03-17,32421.87,"2-201-2011-454228",2014-01-18,35206.301369863
"11-1-12-370817","1-202-2021-603034",2014-03-15,32287.62,"2-202-2022-1056055",2014-01-14,34874.9479452055
"11-1-11-561678","1-202-2021-606560",2014-03-23,32824.63,"2-202-2022-1060165",2014-01-20,35371.9780821918
"11-1-11-561404","1-202-2021-606167",2014-03-22,32757.5,"2-201-2011-454871",2014-01-20,35371.9780821918
"11-1-11-561416","1-202-2021-606219",2014-03-23,32824.63,"2-202-2022-1061313",2014-01-21,35454.8164383562
"11-1-12-371258","1-202-2021-605066",2014-03-20,32623.25,"2-202-2022-1059271",2014-01-19,35289.1397260274
"11-1-11-561731","1-202-2021-606590",2014-03-23,32824.63,"2-202-2022-1063606",2014-01-24,35703.3315068493
"11-1-11-561787","1-202-2021-606730",2014-03-24,32891.75,"2-202-2022-1062724",2014-01-23,35620.4931506849
"11-1-12-371368","1-202-2021-604830",2014-03-19,32556.12,"2-201-2011-454387",2014-01-19,35289.1397260274
"11-1-12-371443","1-202-2021-605703",2014-03-21,32690.38,"2-202-2022-1058418",2014-01-17,35123.4630136986
"11-1-12-371493","1-202-2021-603952",2014-03-17,32421.87,"2-201-2011-453649",2014-01-16,35040.6246575342
"11-1-11-562128","1-202-2021-607416",2014-03-25,32824.63,"2-202-2022-1062829",2014-01-23,35454.8164383562
"11-1-11-561883","1-202-2021-606084",2014-03-22,32757.5,"2-202-2022-1061424",2014-01-21,35454.8164383562
"11-1-11-561904","1-202-2021-604667",2014-03-19,32556.12,"2-202-2022-1059100",2014-01-18,35206.301369863
"11-1-12-371552","1-202-2021-606068",2014-03-22,32757.5,"2-202-2022-1060543",2014-01-20,35371.9780821918
"11-1-11-561513","1-202-2021-605573",2014-03-21,32690.38,"2-201-2011-454090",2014-01-18,35206.301369863
"11-1-12-371618","1-202-2021-607457",2014-03-25,32958.88,"2-201-2011-455368",2014-01-22,35537.6547945205
"11-1-11-562193","1-202-2021-607586",2014-03-26,32891.75,"2-201-2011-455935",2014-01-23,35454.8164383562
"11-1-12-371625","1-202-2021-604987",2014-03-20,32623.25,"2-202-2022-1060969",2014-01-21,35454.8164383562
"11-1-12-371672","1-202-2021-606565",2014-03-23,32757.5,"2-201-2011-455502",2014-01-22,35454.8164383562
"11-1-11-561636","1-202-2021-604899",2014-03-20,32623.25,"2-202-2022-1059285",2014-01-19,35289.1397260274
"11-1-12-371787","1-202-2021-607764",2014-03-26,32958.88,"2-201-2011-456082",2014-01-24,35620.4931506849
"11-1-12-371820","1-202-2021-606234",2014-03-23,32690.38,"2-202-2022-1060758",2014-01-20,35206.301369863
"11-1-11-561935","1-202-2021-607608",2014-03-26,32891.75,"2-202-2022-1062039",2014-01-22,35371.9780821918
"11-1-11-561947","1-202-2021-607401",2014-03-25,32824.63,"2-202-2022-1061770",2014-01-22,35371.9780821918
"11-1-11-562956","1-202-2021-605997",2014-03-22,32623.25,"2-202-2022-1061151",2014-01-21,35289.1397260274
"11-1-12-372034","1-202-2021-605508",2014-03-21,32556.12,"2-202-2022-1060934",2014-01-21,35289.1397260274
"11-1-11-563703","1-202-2021-606569",2014-03-23,32623.25,"2-202-2022-1063165",2014-01-24,35454.8164383562
"11-1-11-562428","1-202-2021-607462",2014-03-25,32824.63,"2-201-2011-456166",2014-01-24,35537.6547945205
"11-1-11-563066","1-202-2021-604444",2014-03-19,32421.87,"2-201-2011-455551",2014-01-22,35371.9780821918
"11-1-12-372325","1-202-2021-605744",2014-03-21,32556.12,"2-202-2022-1061661",2014-01-22,35371.9780821918
"11-1-12-372328","1-202-2021-606063",2014-03-22,32623.25,"2-202-2022-1059725",2014-01-19,35123.4630136986
"11-1-11-562448","1-202-2021-607611",2014-03-26,32891.75,"2-202-2022-1062922",2014-01-23,35454.8164383562
"11-1-11-562759","1-202-2021-604570",2014-03-19,32421.87,"2-201-2011-455484",2014-01-22,35371.9780821918
"11-1-12-372394","1-202-2021-605016",2014-03-20,32489,"2-202-2022-1061437",2014-01-21,35289.1397260274
"11-1-11-563416","1-202-2021-604917",2014-03-20,32421.87,"2-201-2011-454486",2014-01-19,35040.6246575342
"11-1-11-563437","1-202-2021-606347",2014-03-23,32623.25,"2-202-2022-1063259",2014-01-24,35454.8164383562
"11-1-11-563447","1-202-2021-608425",2014-03-28,32958.88,"2-202-2022-1066632",2014-01-28,35786.1698630137
"11-1-11-562817","1-202-2021-607011",2014-03-24,32757.5,"2-202-2022-1061982",2014-01-22,35371.9780821918
"11-1-11-562841","1-202-2021-604645",2014-03-19,32421.87,"2-202-2022-1059537",2014-01-19,35123.4630136986
"11-1-12-372601","1-202-2021-607770",2014-03-26,32824.63,"2-202-2022-1064428",2014-01-25,35537.6547945205
"11-1-11-563767","1-202-2021-605881",2014-03-22,32556.12,"2-202-2022-1063818",2014-01-24,35454.8164383562
"11-1-11-563780","1-202-2021-604879",2014-03-20,32421.87,"2-202-2022-1059777",2014-01-19,35040.6246575342
"11-1-12-372640","1-202-2021-607002",2014-03-24,32690.38,"2-202-2022-1063735",2014-01-24,35454.8164383562
"11-1-12-372684","1-202-2021-606135",2014-03-22,32556.12,"2-202-2022-1060914",2014-01-21,35206.301369863
"11-1-11-563175","1-202-2021-608591",2014-03-28,33026.01,"2-202-2022-1063077",2014-01-24,35537.6547945205
"11-1-11-563224","1-202-2021-605930",2014-03-22,32623.25,"2-201-2011-455762",2014-01-23,35454.8164383562
"11-1-12-372774","1-202-2021-606330",2014-03-23,32623.25,"2-202-2022-1064233",2014-01-25,35537.6547945205
"11-1-11-563913","1-202-2021-607965",2014-03-27,32891.75,"2-202-2022-1063089",2014-01-24,35454.8164383562
"11-1-11-563538","1-202-2021-607940",2014-03-26,32824.63,"2-202-2022-1065182",2014-01-26,35620.4931506849
"11-1-11-564194","1-202-2021-606768",2014-03-24,32690.38,"2-202-2022-1062895",2014-01-23,35371.9780821918
"11-1-11-564561","1-202-2021-609057",2014-03-29,32757.5,"2-202-2022-1064697",2014-01-26,35289.1397260274
"11-1-11-564270","1-202-2021-608177",2014-03-27,32824.63,"2-202-2022-1065327",2014-01-26,35537.6547945205
"11-1-11-564272","1-202-2021-609501",2014-03-30,33026.01,"2-202-2022-1068046",2014-01-30,35869.0082191781
"11-1-11-564916","1-202-2021-607245",2014-03-25,32421.87,"2-202-2022-1065557",2014-01-27,35289.1397260274
"11-1-11-564917","1-202-2021-609334",2014-03-30,32757.5,"2-202-2022-1066175",2014-01-28,35371.9780821918
"11-1-11-564919","1-202-2021-610525",2014-04-01,32891.75,"2-202-2022-1067225",2014-01-29,35454.8164383562
"11-1-11-564619","1-202-2021-606405",2014-03-23,32287.62,"2-202-2022-1063087",2014-01-24,35040.6246575342
"11-1-11-563999","1-202-2021-605333",2014-03-21,32489,"2-202-2022-1062568",2014-01-23,35371.9780821918
"11-1-11-564010","1-202-2021-606858",2014-03-24,32690.38,"2-201-2011-456020",2014-01-24,35454.8164383562
"11-1-11-564644","1-202-2021-609120",2014-03-29,32690.38,"2-202-2022-1065593",2014-01-27,35289.1397260274
"11-1-12-373250","1-202-2021-607459",2014-03-25,32489,"2-202-2022-1064034",2014-01-25,35206.301369863
"11-1-12-373272","1-202-2021-609509",2014-03-30,32824.63,"2-202-2022-1064936",2014-01-26,35289.1397260274
"11-1-12-373282","1-202-2021-604753",2014-03-19,32086.24,"2-202-2022-1063257",2014-01-24,35123.4630136986
"11-1-11-564046","1-202-2021-609028",2014-03-29,33026.01,"2-202-2022-1065939",2014-01-27,35703.3315068493
"11-1-12-373325","1-202-2021-607519",2014-03-26,32556.12,"2-202-2022-1065799",2014-01-27,35371.9780821918
"11-1-11-564409","1-202-2021-608903",2014-03-29,32757.5,"2-202-2022-1066219",2014-01-28,35454.8164383562
"11-1-12-373536","1-202-2021-608333",2014-03-27,32556.12,"2-202-2022-1067363",2014-01-29,35454.8164383562
"11-1-11-564438","1-202-2021-609302",2014-03-30,32824.63,"2-202-2022-1065004",2014-01-26,35289.1397260274
"11-1-11-565070","1-202-2021-607242",2014-03-25,32421.87,"2-202-2022-1063657",2014-01-24,35040.6246575342
"11-1-12-373705","1-202-2021-607647",2014-03-26,32489,"2-202-2022-1065118",2014-01-26,35206.301369863
"11-1-11-564785","1-202-2021-607593",2014-03-26,32489,"2-202-2022-1064860",2014-01-26,35206.301369863
"11-1-12-373737","1-202-2021-609397",2014-03-30,32757.5,"2-201-2011-458086",2014-01-30,35537.6547945205
"11-1-12-373741","1-202-2021-610466",2014-04-01,32891.75,"2-202-2022-1067139",2014-01-29,35454.8164383562
"11-1-12-373747","1-202-2021-607013",2014-03-24,32354.75,"2-201-2011-456901",2014-01-26,35206.301369863
"11-1-11-565781","1-202-2021-610640",2014-04-02,32891.75,"2-201-2011-458546",2014-01-31,35537.6547945205
"11-1-12-374127","1-202-2021-607071",2014-03-25,32421.87,"2-202-2022-1066107",2014-01-27,35289.1397260274
"11-1-11-566178","1-202-2021-608733",2014-03-28,32421.87,"2-201-2011-457419",2014-01-28,35123.4630136986
"11-1-11-565937","1-202-2021-608178",2014-03-27,32421.87,"2-202-2022-1066098",2014-01-27,35123.4630136986
"11-1-12-374249","1-202-2021-610449",2014-04-01,32757.5,"2-201-2011-457670",2014-01-29,35289.1397260274
"11-1-11-566236","1-202-2021-610738",2014-04-02,32757.5,"2-201-2011-458531",2014-01-31,35371.9780821918
"11-1-11-565650","1-202-2021-611872",2014-04-04,33026.01,"2-202-2022-1070176",2014-02-02,35703.3315068493
"11-1-12-374388","1-202-2021-611406",2014-04-03,32824.63,"2-202-2022-1069349",2014-02-01,35454.8164383562
"11-1-11-566281","1-202-2021-611310",2014-04-03,32824.63,"2-202-2022-1070111",2014-02-02,35537.6547945205
"11-1-11-566881","1-202-2021-611669",2014-04-04,32220.49,"2-201-2011-459276",2014-02-02,34709.2712328767
"11-1-11-566366","1-202-2021-611096",2014-04-03,32824.63,"2-202-2022-1068705",2014-01-31,35371.9780821918
"11-1-11-566609","1-202-2021-607905",2014-03-26,31616.36,"2-201-2011-457840",2014-01-29,34377.9178082192
"11-1-11-566639","1-202-2021-607698",2014-03-26,31616.36,"2-202-2022-1065358",2014-01-26,34129.402739726
"11-1-12-374671","1-202-2021-611825",2014-04-04,32421.87,"2-201-2011-458728",2014-02-01,34874.9479452055
"11-1-12-374675","1-202-2021-611585",2014-04-04,32421.87,"2-202-2022-1070536",2014-02-02,34957.7863013699
"11-1-11-566679","1-202-2021-608610",2014-03-28,31750.61,"2-202-2022-1066920",2014-01-29,34377.9178082192
"11-1-11-566706","1-202-2021-610797",2014-04-02,32086.24,"2-202-2022-1069396",2014-02-01,34626.4328767123
"11-1-11-566739","1-202-2021-609994",2014-03-31,31951.99,"2-201-2011-458871",2014-02-01,34626.4328767123
"11-1-11-566415","1-202-2021-612503",2014-04-06,32354.75,"2-202-2022-1070540",2014-02-02,34709.2712328767
"11-1-12-374856","1-202-2021-612076",2014-04-05,32287.62,"2-202-2022-1071109",2014-02-03,34792.1095890411
"11-1-11-566419","1-202-2021-610539",2014-04-01,32019.12,"2-202-2022-1069667",2014-02-01,34626.4328767123
"11-1-12-374888","1-202-2021-610095",2014-03-31,31951.99,"2-201-2011-458892",2014-02-01,34626.4328767123
"11-1-11-567557","1-202-2021-612842",2014-04-07,32421.87,"2-202-2022-1073484",2014-02-06,35040.6246575342
"11-1-11-567575","1-202-2021-612222",2014-04-05,32287.62,"2-202-2022-1071733",2014-02-04,34874.9479452055
"11-1-12-375326","1-202-2021-610474",2014-04-01,32019.12,"2-202-2022-1071012",2014-02-03,34792.1095890411
"11-1-12-375352","1-202-2021-612528",2014-04-06,32354.75,"2-202-2022-1071654",2014-02-04,34874.9479452055
"11-1-11-567865","1-202-2021-610179",2014-04-01,32019.12,"2-202-2022-1070012",2014-02-02,34709.2712328767
"11-1-12-375535","1-202-2021-609337",2014-03-30,31884.86,"2-202-2022-1069027",2014-01-31,34543.5945205479
"11-1-11-567627","1-202-2021-609898",2014-03-31,31951.99,"2-201-2011-458677",2014-02-01,34626.4328767123
"11-1-11-568524","1-202-2021-613442",2014-04-08,32019.12,"2-202-2022-1073895",2014-02-07,34543.5945205479
"11-1-11-568597","1-202-2021-612155",2014-04-05,31817.74,"2-202-2022-1073242",2014-02-06,34460.7561643836
"11-1-12-375783","1-202-2021-613536",2014-04-08,32421.87,"2-202-2022-1073554",2014-02-06,34957.7863013699
"11-1-11-569697","1-202-2021-611575",2014-04-04,31616.36,"2-201-2011-459093",2014-02-02,33963.7260273973
"11-1-11-568955","1-202-2021-611074",2014-04-03,31549.23,"2-201-2011-959915",2014-02-04,34129.402739726
"11-1-11-567640","1-202-2021-610364",2014-04-01,32019.12,"2-201-2011-459345",2014-02-03,34792.1095890411
"11-1-11-568977","1-202-2021-614604",2014-04-11,32086.24,"2-201-2011-460858",2014-02-07,34377.9178082192
"11-1-11-568988","1-202-2021-611062",2014-04-03,31549.23,"2-201-2011-959249",2014-02-04,34129.402739726
"11-1-12-376082","1-202-2021-612059",2014-04-05,32086.24,"2-202-2022-1072531",2014-02-05,34709.2712328767
"11-1-11-568430","1-202-2021-612286",2014-04-05,32086.24,"2-202-2022-1071881",2014-02-04,34626.4328767123
"11-1-11-569701","1-202-2021-613115",2014-04-07,31817.74,"2-202-2022-1075499",2014-02-09,34543.5945205479
"11-1-11-569168","1-202-2021-613879",2014-04-09,31951.99,"2-201-2011-461049",2014-02-08,34460.7561643836
"11-1-11-568812","1-202-2021-614034",2014-04-09,31951.99,"2-202-2022-1075261",2014-02-08,34460.7561643836
"11-1-12-376396","1-202-2021-612545",2014-04-06,31750.61,"2-202-2022-1071958",2014-02-04,34129.402739726
"11-1-11-569752","1-202-2021-612758",2014-04-06,31750.61,"2-202-2022-1072897",2014-02-05,34212.2410958904
"11-1-11-569537","1-202-2021-614746",2014-04-11,32086.24,"2-202-2022-1076387",2014-02-10,34626.4328767123
"11-1-11-568914","1-202-2021-611634",2014-04-04,31616.36,"2-202-2022-1069978",2014-02-02,33963.7260273973
"11-1-11-569782","1-202-2021-613050",2014-04-07,31817.74,"2-202-2022-1074012",2014-02-07,34377.9178082192
"11-1-11-569794","1-202-2021-612713",2014-04-06,31750.61,"2-202-2022-1071886",2014-02-04,34129.402739726
"11-1-12-376662","1-202-2021-612530",2014-04-06,31750.61,"2-202-2022-1074550",2014-02-07,34377.9178082192
"11-1-12-376692","1-202-2021-615073",2014-04-12,32153.37,"2-202-2022-1077386",2014-02-11,34709.2712328767
"11-1-11-569857","1-202-2021-613903",2014-04-09,31951.99,"2-202-2022-1076434",2014-02-10,34626.4328767123
"11-1-11-569264","1-202-2021-614557",2014-04-11,32086.24,"2-202-2022-1073136",2014-02-06,34295.0794520548
"11-1-11-569879","1-202-2021-612930",2014-04-07,31817.74,"2-201-2011-460955",2014-02-08,34460.7561643836
"11-1-11-569967","1-202-2021-612621",2014-04-06,31750.61,"2-201-2011-460291",2014-02-06,34295.0794520548
"11-1-12-376923","1-202-2021-615269",2014-04-12,32153.37,"2-202-2022-1077012",2014-02-11,34709.2712328767
"11-1-12-377034","1-202-2021-615218",2014-04-12,32153.37,"2-202-2022-1076132",2014-02-10,34626.4328767123
"11-1-11-570310","1-202-2021-615209",2014-04-12,32153.37,"2-201-2011-461019",2014-02-08,34460.7561643836
"11-1-12-377102","1-202-2021-616093",2014-04-14,32287.62,"2-202-2022-1076741",2014-02-10,34626.4328767123
"11-1-12-377146","1-202-2021-616166",2014-04-14,32287.62,"2-202-2022-1077962",2014-02-12,34792.1095890411
"11-1-11-570428","1-202-2021-616123",2014-04-14,32220.49,"2-202-2022-1078533",2014-02-13,34792.1095890411
"11-1-12-377321","1-202-2021-616054",2014-04-14,32153.37,"2-201-2011-462625",2014-02-13,34709.2712328767
"11-1-11-570092","1-202-2021-614285",2014-04-10,32019.12,"2-202-2022-1076119",2014-02-10,34626.4328767123
"11-1-12-377496","1-202-2021-616271",2014-04-15,32220.49,"2-202-2022-1078291",2014-02-12,34626.4328767123
"11-1-11-571118","1-202-2021-617551",2014-04-17,32354.75,"2-202-2022-1078778",2014-02-13,34709.2712328767
"11-1-11-571459","1-202-2021-614453",2014-04-10,31683.48,"2-202-2022-1076189",2014-02-10,34212.2410958904
"11-1-12-377828","1-202-2021-614863",2014-04-11,31951.99,"2-202-2022-1077041",2014-02-11,34543.5945205479
"11-1-12-377873","1-202-2021-615187",2014-04-12,32019.12,"2-201-2011-462049",2014-02-11,34543.5945205479
"11-1-11-570945","1-202-2021-614586",2014-04-11,31951.99,"2-202-2022-1076342",2014-02-10,34460.7561643836
"11-1-12-377960","1-202-2021-614241",2014-04-10,31884.86,"2-202-2022-1077409",2014-02-11,34543.5945205479
"11-1-11-571933","1-202-2021-615772",2014-04-13,31884.86,"2-202-2022-1077876",2014-02-12,34377.9178082192
"11-1-12-378142","1-202-2021-614989",2014-04-12,31817.74,"2-202-2022-1078337",2014-02-12,34377.9178082192
"11-1-11-571947","1-202-2021-615760",2014-04-13,31884.86,"2-202-2022-1080004",2014-02-15,34626.4328767123
